"類別","店家名稱","電話","地址","經度","緯度","入內規定","寵物服務"
"飲食類","韓雞Bar-嘉義形象店(正統韓式炸雞）","(05)2168599","嘉義市西區民生北路186號",120.44644,23.47847,"可落地","提供寵物飲水
提供酒精或乾洗手
提供協助清潔便溺物
設有寵物友善公約並張貼於明顯處"
"飲食類","朱家麻花捲老字號-12號（正宗老店）","(05)2910973","嘉義市友忠路788巷12號",120.4432,23.48751,"可落地
(不可亂大小便喔)","提供酒精或乾洗手"
"飲食類","Manners Club","(05)2360377","嘉義市新民路377號",120.4356598,23.458228,"可落地
於提籠/推車內才可入內","寵物專用餐具
寵物飲水
協助照顧
提供酒精或乾洗手
協助清潔便溺物
提供狗便袋
設有寵物友善公約並張貼於明顯處"
"飲食類","兩 顆蛋 Egg Egg Dessert","(05)2227708","嘉義市蘭井街108號",120.45386,23.4779,"可落地
","寵物飲水
寵物牽繩掛勾
提供酒精或乾洗手"
"飲食類","來來自然烘培","(05)2788699","嘉義市民國路93號",120.460489,23.47756,"於提籠/推車內才可入內","寵物飲水
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"飲食類","柴哥冰廊 x Miss Toast 熱壓吐司","0982324064","嘉義市民國路61號",120.46066,23.47642,"可落地
一定要代禮貌帶","寵物飲水
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"飲食類","莊記火雞肉飯","(05)2765331","嘉義市新生路660-5號",120.456594,23.494475,"可落地
","寵物飲水
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"飲食類","睦鄰咖啡morning cafe","(05)2750106","嘉義市中山路89號",120.458242,23.481942,"可落地","寵物飲水
寵物奔跑空間
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"飲食類","喵咪文創咖啡館","(05)2781236","嘉義市中山路43號",120.46006,23.48218,"於提籠/推車內才能進入","寵物飲水
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"飲食類","貳樓餐廳 Second Floor Cafe 嘉義店","(05)2166222","嘉義市文化路299號1樓",120.448044,23.485205,"可落地
","寵物飲水
寵物餐
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"飲食類","米克斯寵物友善餐廳Mixed Pet Friendly Restaurant","(05)2366588","嘉義市青年街164號",120.434479,23.470569,"可落地
寵物需固定在座位上(自備牽繩)","禮貌帶/生理褲(販售)
寵物專用餐具
寵物用品販售
防汙墊
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"飲食類","Nonamelab","(05)2280999","嘉義市西門街127號",120.443119,23.47746,"可落地
於提籠/推車內才可入內
一定要代禮貌帶","寵物飲水
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"飲食類","綠食光 1929","(05)2259191","嘉義市中山路258號",120.450329,23.48035,"可落地","可落地(繫牽繩)
於提籠/推車內才可入內(特殊寵物)"
"飲食類","廢溫室Greenhouse café","0926052331","嘉義市忠孝路346巷18號",120.454967,23.489139,"可落地
需用牽繩
","寵物飲水
寵物戶外奔跑空間
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"飲食類","東發養蜂場","(05)2719608","嘉義市義教街839號",120.45207,23.49867,"可落地
","寵物飲水
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"飲食類","六年甲班(新生店)","(05)2778877","嘉義市新生路663-2號",120.45649,23.494138,"可落地
一定要帶著禮貌帶
","寵物飲水
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"飲食類","沐鮨日本料理","(05)2716610","嘉義市公園街139號",120.4659,23.47997,"於提籠/推車才可入內
","寵物飲水
提供酒精或乾洗手"
"飲食類","舊時光新鮮事","(05)2169909","嘉義市仁愛路494號",120.44222,23.476489,"寵物可落地
於提籠/推車才可入內
","提供寵物飲水
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"住宿業","冠閣大飯店","(05)2318111","嘉義市忠順一街27號",120.434441,23.483725,"可落地","寵物專用餐具
寵物飲水
寵物餐
寵物美容
提供酒精或乾洗手
協助清潔便溺物
提供狗便袋
設有寵物友善公約並張貼於明顯處"
"住宿業","德爾芙快捷酒店De reve Express Hotel","(05)2161899","嘉義市仁愛路361號5-11樓",120.442089,23.4755,"於提籠/推車內才可入內","寵物專用餐具
寵物飲水
防汙墊
提供酒精或乾洗手
提供狗便袋"
"住宿業","小小逐月坊(little-moonlight)","(05)2168528","嘉義市國華街181巷14號",120.4459271,23.477217,"可落地
一定要用禮貌帶
1.	為防止貓咪跳躍翻牆而走失，有露天院子，如您攜帶貓咪前來，請一定要自行準備並攜帶寵物運輸籠，在屋內空間貓咪可落地，在露天院子必須將貓咪裝入寵物籠裡
2.	為確保環境衛生與避免傳染性疾病之發生，狗與貓允許與主人同一房，但寵物不能上床","禮貌帶/生理褲(租借)
寵物專用餐具
寵物床墊/防汙墊
寵物奔跑空間
寵物運輸籠(大型)
提供寵物飲水
提供酒精或乾洗手
提供協助清潔便溺物
提供狗便袋
設有寵物友善公約並張貼於明顯處"
"住宿業","安蘭居旅店","(05)2290102","嘉義市蘭井街465號14樓",120.44173,23.47664,"於提籠/推車才可入內
寵物專用餐具
","寵物飲水
寵物運輸籠(小型)
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"住宿業","安娜與國王有限公司","(05)2789591","嘉義市和平路150號",120.456894,23.480073,"於提籠/推車才可入內","寵物飲水
可攜帶寵物入住"
"住宿業","新悦花園酒店","(05)278666","嘉義市保順路69號",120.449971,23.50494,"可落地
需使用牽繩
","寵物專用餐具
寵物旅館
提供貓砂
協助清潔便溺物"
"生活類","東森寵物雲 嘉義西區店","(05)2330006","嘉義市北港路313號",120.42816,23.48101,"可落地","寵物用品販售
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"生活類","東森寵物雲 嘉義北區店","(05)2251000","嘉義市林森西路186號",120.44817,23.4842,"可落地","寵物用品販售
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"生活類","東森寵物雲 嘉義友愛店","(05)2810999","嘉義市友愛路187號",120.4338,23.4814,"可落地","寵物用品販售
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"生活類","東森寵物雲 嘉義後庒店","(05)2306999","嘉義市吳鳳南路360號",120.4566934,23.4549885,"可落地","寵物用品販售
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"生活類","幸福培菓寵物 嘉義店","(05)2841688","嘉義市新民路723號",120.43975,23.46929,"可落地","禮貌帶/生理褲(販售)
寵物用品販售
寵物美容
提供酒精或乾洗手
協助清潔便溺物
設有寵物友善公約並張貼於明顯處"
"生活類","皇品城眼鏡","(05)2161234","嘉義市民族路794號",120.44072,23.4753,"可落地
一定要代禮貌帶","寵物飲水
寵物牽繩掛勾
防汙墊
提供酒精或乾洗手
提供狗便袋
設有寵物友善公約並張貼於明顯處"
"交通類","台灣大車隊","(05)2842797","嘉義市重慶二街100號",120.43264,23.45963,"於提籠才可入內
","親子接送服務
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"觀光類","愛木村地方文化館(愛木村休閒觀光工廠)","(05)2322441","嘉義市文化路909-3號",120.43854,23.502027,"可落地
於提籠/推車內才可入內","寵物奔跑空間
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"觀光類","月桃故事館","(05)2766399","嘉義市保忠一街359號",120.448414,23.51244,"可落地","寵物飲水
寵物奔跑空間
提供酒精或乾洗手
提供協助清潔便溺物"
"觀光類","長圓食品-大福嘉義美食觀光工廠","(05)2387138","嘉義市北港路1296號",120.40181,23.49104,"可落地","寵物飲水
寵物牽繩掛勾
提供酒精或乾洗手
協助清潔便溺物
提供狗便袋
設有寵物友善公約並張貼於明顯處"
"觀光類","台灣圖書室","(05)2228831","嘉義市中山路255號",120.45124,23.480499,"可落地
","寵物專用餐具
寵物飲水
寵物奔跑空間
提供酒精或乾洗手
提供協助清潔便溺物"
"觀光類","耐斯廣場時尚百貨","(05)2767888","嘉義市忠孝路600號",120.452527,23.496523,"於提籠/推車內才可入內
(餐廳及用餐區、宜得利、大創、寶雅除外)
","寵物用品販售
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"觀光類","湘霖園企業社","(05)2758052","嘉義市博東路156號",120.459432,23.490952,"可落地
","寵物飲水
寵物奔跑空間
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"觀光類","咱的所在 紅瓦厝窯烤","(05)2360998","嘉義市重慶二街146號",120.43179,23.459129,"可落地
","寵物飲水
寵物奔跑空間
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"觀光類","嘉義市東區頂庄社區發展協會","(05)2765298","嘉義市義教街538號",120.4578,23.49869,"於提籠/推車內才可入內
","寵物飲水
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
"觀光類","嘉義市大溪社區發展協會","0935825623","嘉義市大溪路595號",120.402902,23.480623,"於提籠/推車內才可入內
一定要帶著禮貌帶
","寵物奔跑空間
提供酒精或乾洗手
設有寵物友善公約並張貼於明顯處"
